Open,Close,VWAP,Volume,MACD,DPO,HULL-16,MFM,Lable
138.85,130.35,131.67,2484863,1.601132219,-5.735,141.1500145,6.688577705,-1
131,134.35,133.63,1017165,1.251733686,-12.7725,143.7481321,7.783183802,1
136.4,138.05,139.43,2155567,1.394254553,-7.5375,143.3561713,7.368022991,1
137,133.8,135.82,1072054,1.537877482,-2.3725,141.6063768,18.9706057,-1
133.2,136.8,137.14,1770848,1.329915754,2.575,140.3284609,-156.6607236,1
138.45,137.4,139.28,1368843,1.570405317,7.545,139.0016179,-38.79763627,-1
137.5,136.55,137.08,966850,1.665200668,2.385,138.0222439,-16.39106774,-1
137.5,135.95,138.13,1445992,1.720504998,3.18,137.2793734,-11.81046158,-1
135.05,135.65,135.8,661586,1.548898722,2.465,136.8489545,-7.626625839,1
136,133,134.6,1051939,1.472539933,12.8575,136.6650059,-2.975257954,-1
132.55,128.4,129.97,1008722,1.12086752,6.8625,136.5452079,-3.080858399,-1
127,126.9,125.79,1506453,0.390054074,-4.1075,135.9211106,-2.853227214,-1
128.25,136.15,133.11,3722084,-0.087335296,-0.425,134.2419095,-3.267499221,1
136.9,138.6,140.19,3787909,0.229279067,2.7925,131.8280423,-51.40207587,1
139.95,141.6,140.85,2725534,0.717917936,-1.77,131.023708,-28.2971199,1
143.7,144.2,144.87,4542525,1.391586226,1.06,131.9411802,215.1633098,1
143.55,143.9,143.59,2792503,1.891607727,1.1475,134.3496767,-30.50410196,1
141.9,141.2,141.55,1645178,2.130281925,-0.1275,137.5696431,-203.6629288,-1
141.95,141.5,142.13,1848320,2.297006802,-1.03,140.8260698,46.7812851,-1
141.7,140.3,141.28,1052870,2.381539483,-1.1,143.2100948,-77.4496732,-1
140.9,144.95,144.11,3253146,2.356858278,-3.7325,144.6959188,-74.40228689,1
145.8,145.25,146.19,2263637,2.701347763,-9.0625,145.0605371,10.89641494,-1
145.5,143.3,144.28,2074690,2.916570179,-11.1075,145.4960843,750.9118269,-1
142.05,141.2,141.07,1956438,2.776907701,-2.12,145.9739928,-6.064979354,-1
142.5,141.7,142.1,3255053,2.671723144,-0.04,146.0874692,-7.396920621,-1
